STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201502,울산광역시,1,0,639,57617,32.0
201503,울산광역시,1,0,719,68067,29.0
201504,울산광역시,1,0,630,56680,25.0
201505,울산광역시,1,0,586,44998,31.0
201506,울산광역시,1,0,408,33280,30.0
201507,울산광역시,1,0,459,30773,22.0
201508,울산광역시,1,0,580,33989,24.0
201509,울산광역시,1,0,785,67148,13.0
201510,울산광역시,1,0,698,62164,22.0
201511,울산광역시,1,0,511,55025,18.0
201512,울산광역시,1,0,600,66314,23.0
201601,울산광역시,1,0,426,58227,24.0
201602,울산광역시,1,0,590,60177,21.0
201603,울산광역시,1,0,779,63561,28.0
201604,울산광역시,1,0,535,52784,27.0
201605,울산광역시,1,0,408,40852,29.0
201606,울산광역시,1,0,382,31773,25.0
201607,울산광역시,1,0,391,32285,19.0
201608,울산광역시,1,0,475,36151,16.0
201609,울산광역시,1,0,617,57110,20.0
201610,울산광역시,1,0,594,58892,18.0
201611,울산광역시,1,0,650,60479,27.0
201612,울산광역시,1,0,451,71025,24.0
201701,울산광역시,1,0,412,49979,26.0
201702,울산광역시,1,0,504,45177,23.0
201703,울산광역시,1,0,634,63835,33.0
201704,울산광역시,1,0,521,59291,27.0
201705,울산광역시,1,0,441,46014,31.0
201706,울산광역시,1,0,439,36098,28.0
201707,울산광역시,1,0,364,32729,27.0
201708,울산광역시,1,0,438,37811,16.0
201709,울산광역시,1,0,567,60454,22.0
201710,울산광역시,1,0,534,52585,15.0
201711,울산광역시,1,0,527,69546,25.0
201712,울산광역시,1,0,434,80805,24.0
201801,울산광역시,1,0,399,69655,25.0
201802,울산광역시,1,0,502,46792,27.0
201803,울산광역시,1,0,727,60941,23.0
201804,울산광역시,1,0,563,65522,26.0
201805,울산광역시,1,0,407,43863,24.0
201806,울산광역시,1,0,403,33860,29.0
201807,울산광역시,1,0,323,30755,27.0
201808,울산광역시,1,0,370,31465,16.0
201809,울산광역시,1,0,662,61582,14.0
201810,울산광역시,1,0,538,64802,19.0
201811,울산광역시,1,0,441,60712,29.0
201812,울산광역시,1,0,343,70234,19.0
201901,울산광역시,1,0,343,48167,26.0
