STD_YYYYMM,SIDO,비염환자수,심근경색,아토피환자수,천식환자수,뇌졸증
201708,인천광역시,118521,149.0,10467,11877,456.0
201709,인천광역시,171235,159.0,9623,15701,464.0
201711,인천광역시,174229,171.0,8063,18860,491.0
201712,인천광역시,199300,158.0,7545,20015,439.0
201801,인천광역시,176522,184.0,8401,18907,502.0
201802,인천광역시,107903,177.0,7684,12512,433.0
201803,인천광역시,144845,139.0,8778,15919,439.0
201804,인천광역시,149266,167.0,9212,18163,486.0
201805,인천광역시,120806,157.0,9931,16520,456.0
201806,인천광역시,89246,160.0,9674,12023,477.0
201807,인천광역시,81362,163.0,11130,10376,458.0
201808,인천광역시,86978,167.0,9919,10378,473.0
201809,인천광역시,173064,132.0,8408,15087,501.0
201811,인천광역시,165787,173.0,7828,19512,520.0
201812,인천광역시,175485,168.0,7708,19839,492.0
201901,인천광역시,120509,197.0,8476,13862,545.0
201902,인천광역시,104738,176.0,7821,11452,476.0
201903,인천광역시,157805,178.0,8607,16364,602.0
201904,인천광역시,162822,167.0,9390,17950,588.0
201905,인천광역시,128620,177.0,10699,16426,656.0
201906,인천광역시,85478,162.0,9094,10737,547.0
201907,인천광역시,86594,167.0,10375,10310,582.0
201908,인천광역시,98292,172.0,10131,10139,569.0
201909,인천광역시,166313,163.0,9010,14102,543.0
201911,인천광역시,155536,182.0,8004,15382,531.0
201912,인천광역시,172331,184.0,7871,17545,551.0
202001,인천광역시,154863,189.0,8154,14893,563.0
202002,인천광역시,83107,162.0,7127,9048,491.0
202003,인천광역시,55074,157.0,8025,6542,471.0
202004,인천광역시,51861,130.0,8967,5659,478.0
202005,인천광역시,78880,135.0,9659,6841,537.0
202006,인천광역시,60052,140.0,10145,5761,518.0
202007,인천광역시,60407,167.0,9335,5830,562.0
202008,인천광역시,53578,157.0,9636,5031,483.0
202009,인천광역시,89916,138.0,9825,6611,477.0
202011,인천광역시,91698,150.0,7975,7649,556.0
202012,인천광역시,55344,148.0,8162,5593,529.0
202101,인천광역시,43647,151.0,7685,4490,551.0
202102,인천광역시,50669,159.0,7833,4705,501.0
202103,인천광역시,99208,174.0,8881,7389,536.0
202104,인천광역시,92989,166.0,9185,7266,557.0
202105,인천광역시,65472,196.0,8802,6249,617.0
202106,인천광역시,58448,191.0,9744,5564,586.0
202107,인천광역시,49153,174.0,10399,4489,554.0
202108,인천광역시,51076,165.0,9326,4553,567.0
202109,인천광역시,104930,155.0,9581,6464,582.0
202111,인천광역시,124126,157.0,8159,9474,586.0
202112,인천광역시,82566,168.0,8489,7103,570.0
